2021-05-26 23:18:28.366 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:18:28.368 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:18:28.400 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2021-05-26 23:18:28.938 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:18:28.947 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:18:28.947 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:18:28.948 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:18:29.045 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:18:29.046 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1463 ms
2021-05-26 23:18:29.288 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:18:30.787 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:18:30.802 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:23:58.382 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 1128 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:23:58.385 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:23:59.159 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:23:59.161 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:23:59.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 Redis repository interfaces.
2021-05-26 23:23:59.647 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:23:59.656 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:23:59.657 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:23:59.657 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:23:59.738 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:23:59.738 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1303 ms
2021-05-26 23:23:59.970 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:24:01.442 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:24:01.453 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:31:07.178 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 16680 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:31:07.180 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:31:07.924 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:31:07.925 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:31:07.951 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2021-05-26 23:31:08.382 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:31:08.392 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:31:08.392 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:31:08.392 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:31:08.468 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:31:08.468 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1238 ms
2021-05-26 23:31:08.639 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:31:10.081 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
